X,Y,RowID,CrimeDateTime,CrimeCode,Location,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,District,Neighborhood,Latitude,Longitude,GeoLocation,Premise,VRIName,Total_Incidents
-76.6015,39.3510000000001,11395,2022/07/03 13:15:00+00,5A,1000 BEAUMONT AVE,BURGLARY,,,524,F,39,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,NORTHERN,KENILWORTH PARK,39.351,-76.6015,"(39.351,-76.6015)",,,1
-76.6661,39.2733000000001,11419,2022/07/03 22:54:00+00,5F,1000 DESOTO RD,BURGLARY,,,832,F,55,WHITE,NOT_HISPANIC_OR_LATINO,SOUTHWEST,WILHELM PARK,39.2733,-76.6661,"(39.2733,-76.6661)",,,1
-76.6516999999999,39.2664,11657,2022/07/28 19:25:00+00,5A,1900 HARMAN AVE,BURGLARY,,,831,M,61,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,SOUTHWEST,MORRELL PARK,39.2664,-76.6517,"(39.2664,-76.6517)",,,1
-76.6566999999999,39.2877,11664,2022/07/27 17:00:00+00,5A,2500 W BALTIMORE ST,BURGLARY,,,835,M,44,,HISPANIC_OR_LATINO,SOUTHWEST,SHIPLEY HILL,39.2877,-76.6567,"(39.2877,-76.6567)",,,1
-76.6767,39.2722000000001,11690,2022/07/03 10:00:00+00,5B,3500 WILKENS AVE,BURGLARY,,,832,M,59,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,SOUTHWEST,SAINT AGNES,39.2722,-76.6767,"(39.2722,-76.6767)",,,1
-76.5937,39.2864000000001,11691,2022/07/03 16:57:00+00,5F,400 S BROADWAY,BURGLARY,,,213,M,30,WHITE,,SOUTHEAST,FELLS POINT,39.2864,-76.5937,"(39.2864,-76.5937)",,,1
-76.6924,39.3252000000001,11697,2022/07/03 03:58:00+00,5A,4300 WENTWORTH RD,BURGLARY,,,621,,,,,NORTHWEST,FOREST PARK GOLF COURSE,39.3252,-76.6924,"(39.3252,-76.6924)",,,1
-76.6272999999999,39.2791,11709,2022/07/03 10:30:00+00,5F,1100 S PACA ST,BURGLARY,,,932,M,31,ASIAN,,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,39.2791,-76.6273,"(39.2791,-76.6273)",,,1
-76.6853,39.3358000000001,11935,2022/07/27 13:00:00+00,5A,4000 OAKFORD AVE,BURGLARY,,,621,M,31,WHITE,UNKNOWN,NORTHWEST,DORCHESTER,39.3358,-76.6853,"(39.3358,-76.6853)",,,1
-76.6052,39.2900000000001,11946,2022/07/27 01:00:00+00,5B,800 E BALTIMORE ST,BURGLARY,,,211,,,,,SOUTHEAST,JONESTOWN,39.29,-76.6052,"(39.29,-76.6052)",,,1
-76.6491,39.3096,11999,2022/07/03 07:00:00+00,5A,1900 W NORTH AVE,BURGLARY,,,735,M,35,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,WESTERN,EASTERWOOD,39.3096,-76.6491,"(39.3096,-76.6491)",,Western,1
-76.6348,39.3351000000001,12002,2022/07/03 00:00:00+00,5A,3800 HICKORY AVE,BURGLARY,,,531,M,29,WHITE,,NORTHERN,HAMPDEN,39.3351,-76.6348,"(39.3351,-76.6348)",,,1
-76.5966,39.3518,12012,2022/07/03 21:00:00+00,5A,5100 NORTHWOOD DR,BURGLARY,,,413,M,43,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,NORTHEAST,NEW NORTHWOOD,39.3518,-76.5966,"(39.3518,-76.5966)",,,1
-76.6147,39.3306000000001,12284,2022/07/27 10:00:00+00,5B,200 E UNIVERSITY PKWY,BURGLARY,,,512,,,,,NORTHERN,OAKENSHAWE,39.3306,-76.6147,"(39.3306,-76.6147)",,,1
-76.617,39.3188000000001,12288,2022/07/27 20:48:00+00,5F,2500 N CHARLES ST,BURGLARY,,,512,,,,,NORTHERN,CHARLES VILLAGE,39.3188,-76.617,"(39.3188,-76.617)",,,1
-76.6015,39.2321000000001,12300,2022/07/27 13:45:00+00,5A,3900 8TH ST,BURGLARY,,,913,M,49,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,BROOKLYN,39.2321,-76.6015,"(39.2321,-76.6015)",,,1
