"","d_sub2","plot","clip","avg_t_ht3","sd","n","se"
"67",6,"F2","CT",14.4375,0.383016173142712,2,0.270833333333332
"68",6,"F2","PR",4.79166666666667,8.88178419700125e-16,2,6.2803698347351e-16
"69",6,"F2","PU",8.41666666666667,1.59099025766973,2,1.125
"70",6,"F5","CT",15.7388888888889,3.78672143935348,3,2.18626464235686
"71",6,"F5","PR",4.90833333333333,0.339423530906938,3,0.195966266938414
"72",6,"F5","PU",12.2972222222222,1.31725549421403,3,0.760517814175981
"73",7,"CT","CT",12.9666666666667,1.82598907748954,3,1.0542352854259
"74",7,"CT","PR",6.54722222222222,1.11184697854683,3,0.641925152361682
"75",7,"CT","PU",10.4583333333333,1.26312553260201,3,0.729265866268061
"76",7,"F10","CT",15.4638888888889,5.9568723927665,3,3.43920187949199
"77",7,"F10","PR",6.29166666666667,0.845740963757685,3,0.488288773090193
"78",7,"F10","PU",11.4722222222222,2.0507169026501,3,1.18398195577675
"79",7,"F2","CT",14.0333333333333,1.01351971970072,2,0.716666666666667
"80",7,"F2","PR",7.20833333333333,0.530330085889911,2,0.375
"81",7,"F2","PU",8.8875,0.689429111656884,2,0.4875
"82",7,"F5","CT",15.1416666666667,3.10305628910166,3,1.7915503838234
"83",7,"F5","PR",8.25,1.89617670883046,3,1.09475813327436
"84",7,"F5","PU",11.6190476190476,1.30089146130809,3,0.751070035372713
"85",8,"CT","CT",15.4305555555556,2.35751359919097,3,1.36111111111111
"86",8,"CT","PR",8.70833333333333,3.83310687736898,3,2.21304528748158
"87",8,"CT","PU",9.90277777777778,1.31255511348131,3,0.757804048094653
"88",8,"F10","CT",14.4277777777778,6.98561186641143,3,4.03314489152688
"89",8,"F10","PR",5.725,1.35930435640196,3,0.7847947360793
"90",8,"F10","PU",11.9027777777778,2.06337663749209,3,1.19129105709564
"91",8,"F2","CT",14.9166666666667,1.06066017177982,2,0.749999999999999
"92",8,"F2","PR",7.70416666666667,1.87972552665424,2,1.32916666666667
"93",8,"F2","PU",8.6875,0.55979286843935,2,0.395833333333333
"94",8,"F5","CT",13.0694444444444,3.03461892781236,3,1.7520380548604
"95",8,"F5","PR",7.65277777777778,1.99405946454667,3,1.15127076863614
"96",8,"F5","PU",9.225,2.29184847763644,3,1.32319933550523
"97",9,"CT","CT",16.5555555555556,1.6117695014877,3,0.930555555555555
"98",9,"CT","PR",4.16666666666667,1.4185037108791,3,0.818973499322531
"99",9,"CT","PU",13.0833333333333,1.74154704533386,3,1.0054826554299
"100",9,"F10","CT",15.3611111111111,4.63162688400011,3,2.67407102826337
"101",9,"F10","PR",6.06944444444444,1.23626715619298,3,0.713759175418311
"102",9,"F10","PU",13.7083333333333,3.15100292675911,3,1.81923238798167
"103",9,"F2","CT",15.8472222222222,1.53451796026321,3,0.885954357434281
"104",9,"F2","PR",4.6875,1.67937860531805,2,1.1875
"105",9,"F2","PU",10.6041666666667,4.3310290347676,2,3.0625
"106",9,"F5","CT",14.8055555555556,3.09298414576052,3,1.78573522915408
"107",9,"F5","PR",5.36111111111111,0.251154740555905,3,0.145004257068202
"108",9,"F5","PU",13.1944444444444,2.43539201346708,3,1.40607423455749
"109",10,"CT","CT",10.7808333333333,1.0756984165338,3,0.621054770352646
"110",10,"CT","PR",6.68666666666667,0.941293436359424,3,0.543456018868541
"111",10,"CT","PU",8.78833333333333,0.521783799416323,3,0.3012520170518
"112",10,"F10","CT",11.9616666666667,2.92574919180256,3,1.68918208346854
"113",10,"F10","PR",7.46,2.88867184013692,3,1.66777546450354
"114",10,"F10","PU",12.0066666666667,3.28234037438736,3,1.89506009872452
"115",10,"F2","CT",11.67,1.90211724139181,2,1.345
"116",10,"F2","PR",7.3175,0.590434162290767,2,0.417499999999999
"117",10,"F2","PU",10.05,2.72236110756821,2,1.925
"118",10,"F5","CT",11.4766666666667,0.786929687668049,3,0.454334067008456
"119",10,"F5","PR",7.78,0.859258401180926,3,0.496093069225255
"120",10,"F5","PU",10.8083333333333,1.65403546918841,3,0.954957823385119
"121",11,"CT","CT",13.4175,2.02019336945749,3,1.16635918567138
"122",11,"CT","PR",4.87333333333333,0.917337633226357,3,0.529625129481011
"123",11,"CT","PU",11.705,0.704059656563278,3,0.406489032242364
"124",11,"F10","CT",15.475,2.89838316997598,3,1.67338230340031
"125",11,"F10","PR",5.32185185185185,0.892828998968547,3,0.515475062894795
"126",11,"F10","PU",15.3633333333333,2.82941837368271,3,1.63356545969579
"127",11,"F2","CT",15.305,3.61331565186326,2,2.555
"128",11,"F2","PR",4.82,0.318198051533946,2,0.225
